Nodal displacements
node#      x          y          u          v
   57    0.344312    2.605502   -0.065012
   58    0.324721    2.765016   -0.204033
   59    0.434629    2.412819   -0.132662
   60    0.383070    2.533037   -0.265656
   61    0.378159    2.278011    0.030821
   62    0.341540    2.409227   -0.070065
   63    0.426451    2.126207   -0.020830
   64    0.367416    2.228062   -0.118504
   65    0.373091    2.006057    0.093746
   66    0.327933    2.110904    0.020720
   67    0.392181    1.888862    0.052695
   68    0.331608    1.972148   -0.019068
   69    0.340561    1.782794    0.130331
   70    0.293089    1.866351    0.076525
   71    0.341894    1.691888    0.096545
   72    0.283717    1.759541    0.042844
   73    0.291375    1.597994    0.148145
   74    0.245895    1.665977    0.106906
   75    0.284169    1.525260    0.119468
   76    0.230891    1.581170    0.077797
   77    0.232237    1.436018    0.153030
   78    0.191441    1.497986    0.120314
   79    0.223969    1.371857    0.128772
   80    0.176508    1.423350    0.095499
   81    0.168170    1.286016    0.150684
   82    0.134401    1.344338    0.122415
   83    0.164488    1.225481    0.129189
   84    0.124462    1.274219    0.100582
   85    0.104954    1.140360    0.143577
   86    0.079409    1.198759    0.116217
   87    0.110634    1.077747    0.123314
   88    0.078569    1.126674    0.096079
   89    0.048224    0.988706    0.131598
   90    0.030560    1.052311    0.101754
   91    0.066937    0.917380    0.110453
   92    0.041881    0.970786    0.081316
   93    0.013271    0.768307    0.079715
   94   -0.005070    0.893360    0.045814
   95    0.037580    0.639712    0.068103
   96    0.002801    0.740475    0.036146
   97    0.200457    3.010936   -0.701544
   98    0.314192    3.179765   -0.935957
   99    0.430076    2.713335   -0.726953
  100    0.475404    2.823003   -0.941478
  101    0.256109    2.680017   -0.385875
  102    0.297738    2.818597   -0.560565
  103    0.393061    2.449498   -0.415537
  104    0.390189    2.545288   -0.577403
  105    0.276464    2.398468   -0.160010
  106    0.269401    2.508290   -0.290014
  107    0.344510    2.222450   -0.193399
  108    0.309842    2.301842   -0.315972
  109    0.270531    2.155564   -0.006178
  110    0.232030    2.248401   -0.103676
  111    0.290138    2.017622   -0.039070
  112    0.234517    2.087812   -0.132850
  113    0.244771    1.944209    0.093741
  114    0.189470    2.021351    0.020119
