Nodal displacements
node#      x          y          u          v
  484    2.728934    1.823415   -1.085189    1.600479
  485    2.772172    1.986510   -0.931992    1.722804
  486    2.819289    1.883789   -1.051472    1.572264
  487    2.863303    2.051814   -0.892898    1.696446
  488    2.909645    1.944162   -1.017083    1.541857
  489    2.954434    2.117118   -0.853309    1.668707
  490    3.000000    2.004536   -0.982370    1.509937
  491    0.793353    0.608761   -1.558268    2.521943
  492    0.819406    0.672469   -1.442622    2.500215
  493    0.885297    0.679312   -1.429944    2.270983
  494    0.912197    0.748621   -1.321900    2.299367
  495    0.977241    0.749863   -1.346875    2.119227
  496    1.004989    0.824773   -1.244963    2.180144
  497    1.069184    0.820414   -1.291699    2.027909
  498    1.097780    0.900925   -1.194811    2.110983
  499    1.161128    0.890965   -1.254310    1.974737
  500    1.190571    0.977076   -1.161081    2.073430
  501    1.253071    0.961515   -1.228181    1.946084
  502    1.283362    1.053228   -1.137213    2.056050
  503    1.345015    1.032066   -1.208936    1.933228
  504    1.376153    1.129380   -1.118854    2.051423
  505    1.436959    1.102617   -1.193533    1.930356
  506    1.468945    1.205532   -1.103020    2.054541
  507    1.528902    1.173168   -1.179790    1.933463
  508    1.561736    1.281684   -1.087609    2.061927
  509    1.620846    1.243719   -1.166118    1.939713
  510    1.654527    1.357835   -1.071120    2.071109
  511    1.712789    1.314270   -1.151346    1.947058
  512    1.747318    1.433987   -1.052486    2.080313
  513    1.804733    1.384820   -1.134621    1.954000
  514    1.840110    1.510139   -1.030966    2.088263
  515    1.896677    1.455371   -1.115340    1.959444
  516    1.932901    1.586291   -1.006084    2.094060
  517    1.988620    1.525922   -1.093108    1.962598
  518    2.025692    1.662443   -0.977584    2.097103
  519    2.080564    1.596473   -1.067707    1.962914
  520    2.118483    1.738594   -0.945395    2.097032
  521    2.172507    1.667024   -1.039078    1.960043
  522    2.211275    1.814746   -0.909612    2.093689
  523    2.264451    1.737574   -1.007297    1.953813
  524    2.304066    1.890898   -0.870466    2.087094
  525    2.356395    1.808125   -0.972562    1.944206
  526    2.396857    1.967050   -0.828297    2.077412
  527    2.448338    1.878676   -0.935168    1.931344
  528    2.489648    2.043201   -0.783532    2.064935
  529    2.540282    1.949227   -0.895489    1.915478
  530    2.582439    2.119353   -0.736642    2.050052
  531    2.632225    2.019778   -0.853941    1.896965
  532    2.675231    2.195505   -0.688114    2.033214
  533    2.724169    2.090328   -0.810959    1.876254
  534    2.768022    2.271657   -0.638405    2.014897
  535    2.816113    2.160879   -0.766955    1.853846
  536    2.860813    2.347809   -0.587912    1.995553
  537    2.908056    2.231430   -0.722279    1.830258
  538    2.953604    2.423960   -0.536931    1.975551
  539    3.000000    2.301981   -0.677185    1.805955
  540    0.751840    0.659346   -1.469989    2.735480
  541    0.777159    0.727888   -1.332496    2.708607
  542    0.845513    0.741495   -1.305352    2.481258
  543    0.871748    0.816481   -1.184110    2.510430
  544    0.939186    0.823644   -1.203296    2.332923
  545    0.966337    0.905073   -1.094353    2.397759
  546    1.032860    0.905794   -1.138474    2.247722
  547    1.060926    0.993665   -1.038148    2.336571
  548    1.126533    0.987943   -1.095948    2.201606
  549    1.155515    1.082257   -1.001259    2.307297
  550    1.220207    1.070092   -1.066656    2.180150
  551    1.250104    1.170850   -0.975078    2.297960
  552    1.313880    1.152242   -1.044789    2.174211
  553    1.344693    1.259442   -0.954145    2.300842
  554    1.407553    1.234391   -1.026479    2.177743
  555    1.439282    1.348034   -0.934852    2.310775
  556    1.501227    1.316540   -1.009062    2.186614
  557    1.533871    1.436627   -0.914754    2.324201
  558    1.594900    1.398690   -0.990674    2.197931
  559    1.628460    1.525219   -0.892174    2.338634
  560    1.688573    1.480839   -0.970006    2.209643
  561    1.723049    1.613811   -0.865983    2.352340
  562    1.782247    1.562988   -0.946160    2.220300
  563    1.817638    1.702403   -0.835463    2.364141
  564    1.875920    1.645138   -0.918559    2.228899
  565    1.912227    1.790996   -0.800224    2.373288
  566    1.969593    1.727287   -0.886889    2.234787
  567    2.006816    1.879588   -0.760150    2.379375
  568    2.063267    1.809436   -0.851057    2.237594
  569    2.101405    1.968180   -0.715357    2.382276
  570    2.156940    1.891586   -0.811160    2.237182
  571    2.195994    2.056772   -0.666154    2.382091
  572    2.250613    1.973735   -0.767455    2.233610
  573    2.290583    2.145365   -0.613005    2.379098
  574    2.344287    2.055884   -0.720325    2.227096
  575    2.385172    2.233957   -0.556487    2.373705
  576    2.437960    2.138034   -0.670244    2.217984
  577    2.479761    2.322549   -0.497243    2.366396
  578    2.531633    2.220183   -0.617741    2.206706
  579    2.574350    2.411141   -0.435930    2.357680
